"","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Date","Publisher","Conference.Name","fishy","RC6","RC0","RC7","RC1","RC4","RC2","RC3","RC10","NR","RC11","RC9","RC5"
"11",2018,"Laverick, Jack H.; Piango, Shanice; Andradi-Brown, Dominic A.; Exton, Dan A.; Bongaerts, Pim; Bridge, Tom C. L.; Lesser, Michael P.; Pyle, Richard L.; Slattery, Marc; Wagner, Daniel; Rogers, Alex D.","To what extent do mesophotic coral ecosystems and shallow reefs share species of conservation interest? A systematic review","Environmental Evidence","","2047-2382","10.1186/s13750-018-0127-1","2018-06-11","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"12",2018,"Lesser, Michael P.; Slattery, Marc; Mobley, Curtis D.","Biodiversity and Functional Ecology of Mesophotic Coral Reefs","Annual Review of Ecology, Evolution, and Systematics","","","10.1146/annurev-ecolsys-110617-062423","2018","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"13",2010,"Kahng, S. E.; Garcia-Sais, J. R.; Spalding, H. L.; Brokovich, E.; Wagner, D.; Weil, E.; Hinderstein, L.; Toonen, R. J.","Community ecology of mesophotic coral reef ecosystems","Coral Reefs","","1432-0975","10.1007/s00338-010-0593-6","2010-06-01","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"14",2022,"Govindarajan, Annette F.; McCartin, Luke; Adams, Allan; Allan, Elizabeth; Belani, Abhimanyu; Francolini, Rene; Fujii, Justin; Gomez-Ibañez, Daniel; Kukulya, Amy; Marin, Fredrick; Tradd, Kaitlyn; Yoerger, Dana R.; McDermott, Jill M.; Herrera, Santiago","Improved biodiversity detection using a large-volume environmental DNA sampler with in situ filtration and implications for marine eDNA sampling strategies","Deep Sea Research Part I: Oceanographic Research Papers","","0967-0637","10.1016/j.dsr.2022.103871","2022-11-01","","",0,0,0,1,0,0,0,0,0,0,0,0,0
"15",2016,"Loya, Yossi; Eyal, Gal; Treibitz, Tali; Lesser, Michael P.; Appeldoorn, Richard","Theme section on mesophotic coral ecosystems: advances in knowledge and future perspectives","Coral Reefs","","1432-0975","10.1007/s00338-016-1410-7","2016-03-01","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"16",2010,"Locker, S. D.; Armstrong, R. A.; Battista, T. A.; Rooney, J. J.; Sherman, C.; Zawada, D. G.","Geomorphology of mesophotic coral ecosystems: current perspectives on morphology, distribution, and mapping strategies","Coral Reefs","","1432-0975","10.1007/s00338-010-0613-6","2010-06-01","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"17",2021,"Gómez-Gras, Daniel; Linares, Cristina; Dornelas, Maria; Madin, Joshua S.; Brambilla, Viviana; Ledoux, Jean-Baptiste; López-Sendino, Paula; Bensoussan, Nathaniel; Garrabou, Joaquim","Climate change transforms the functional identity of Mediterranean coralligenous assemblages","Ecology Letters","","1461-0248","10.1111/ele.13718","2021","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"18",2010,NA,"A peek into the twilight zone","New Scientist","","02624079","10.1016/S0262-4079(10)60255-2","2010","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"19",2016,NA,"Autosubs are go!","Planet Earth","","14792605",NA,"2016","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"20",2004,NA,"Census of arctic marine life begins","Bulletin of the American Meteorological Society","","00030007",NA,"2004","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"21",2020,NA,"Coronavirus nixes conference, twilight zone beckons and a faded star brightens","Nature","","14764687","10.1038/d41586-020-00589-1","2020","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"22",2007,NA,"Cover story: Mini-ROVs as tools","International Ocean Systems","","14710188",NA,"2007","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"23",2018,NA,"Docking station for underwater drones","2018 OCEANS - MTS/IEEE Kobe Techno-Oceans, OCEANS - Kobe 2018","","","10.1109/OCEANSKOBE.2018.8559109","2018","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"24",2008,NA,"Exploring human history lost beneath the sea","Hydro International","","13854569",NA,"2008","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"25",2000,NA,"From fish ponds to oceans trenches","International Ocean Systems","","14604892",NA,"2000","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"26",1990,NA,"Hydrothermal activity in the lau basin: First results from the NAUTILAU cruise","Eos, Transactions American Geophysical Union","","00963941","10.1029/90EO00166","1990","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"27",2009,NA,"Integrated ocean drilling program expedition 321T preliminary report: Juan de fuca hydrogeology: Cementing operations at the hole U1301A and hole U1301B borehole observatories (CORKs)","Integrated Ocean Drilling Program: Preliminary Reports","","19329423",NA,"2009","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"28",1995,NA,"Marine patterns, part 2","Developments in Palaeontology and Stratigraphy","","09205446","10.1016/S0920-5446(06)80060-9","1995","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"29",2008,NA,"Monitoring HABs in spain","International Ocean Systems","","14710188",NA,"2008","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"30",2009,NA,"More power to the diver","International Ocean Systems","","14710188",NA,"2009","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"31",1989,NA,"New data on the geology of the Azores-Gibraltar zone and the Tyrrhenian Sea. Results of the 16th cruise of the R/V Akademik Mstislav Keldysh)","Oceanology","","00014370",NA,"1989","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"32",2001,NA,"News: Protection for sponge gardens","Marine Pollution Bulletin","","0025326X",NA,"2001","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"33",2010,NA,"Oceans advance","International Ocean Systems","","14710188",NA,"2010","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"34",2003,NA,"Pushing the boundaries of robotic design","International Ocean Systems","","14710188",NA,"2003","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"35",2015,NA,"SUNRISE project: Connecting the oceans","Hydro International","","13854569",NA,"2015","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"36",1997,NA,"The AUVs are coming","International Ocean Systems Design","","",NA,"1997","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"37",2007,NA,"Tiger helps map seabed habitats","International Ocean Systems","","14710188",NA,"2007","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"38",2006,NA,"Unmanned underwater vehicle showcase","Hydro International","","13854569",NA,"2006","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"39",2007,NA,"We've just sold","International Ocean Systems","","14710188",NA,"2007","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"40",2020,"Abe, Takashi; Ikarashi, Ryo; Mizoguchi, Masaya; Otake, Masashi; Ikemura, Toshimichi","A strategy for predicting gene functions from genome and metagenome sequences on the basis of oligopeptide frequency distance","GENES & GENETIC SYSTEMS","","1341-7568","10.1266/ggs.19-00041","2020","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"41",2021,"Abileah, Ron; Blot, Jean-Yves","Bathymetry of the Golfe d'Arguin, Mauritania, derived with the moderate resolution Sentinel-2 satellites","Oceans Conference Record (IEEE)","","01977385","10.23919/OCEANS44145.2021.9705992","2021","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"42",1982,"Able, Kenneth W.; Grimes, Churchill B.; Cooper, Richard A.; Uzmann, Joseph R.","Burrow construction and behavior of tilefish, <i>Lopholatilus chamaeleonticeps</i>, in Hudson Submarine Canyon","Environmental Biology of Fishes","","15735133","10.1007/BF00002496","1982","","",1,0,0,0,0,0,0,0,0,0,0,0,0
"43",2013,"Abbey, E.; Webster, J.M.; Braga, J.C.; Jacobsen, G.E.; Thorogood, G.; Thomas, A.L.; Camoin, G.; Reimer, P.J.; Potts, D.C.","Deglacial mesophotic reef demise on the Great Barrier Reef","Palaeogeography, Palaeoclimatology, Palaeoecology","","00310182","10.1016/j.palaeo.2013.09.032","2013","","",0,0,0,1,0,0,0,0,0,0,0,0,0
"44",1997,"Abagyan, Ruben A.; Batalov, Serge","Do aligned sequences share the same fold?","Journal of Molecular Biology","","00222836","10.1006/jmbi.1997.1287","1997","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"45",2011,"Abbey E, Webster JM, Beaman RJ","Geomorphology of submerged reefs on the shelf edge of the Great Barrier Reef: The influence of oscillating Pleistocene sea-levels","Marine geology","","","10.1016/j.margeo.2011.08.006","2011","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"46",2014,"Abdul Wahab, Muhammad Azmi; De Nys, Rocky; Webster, Nicole; Whalan, Steve","Larval behaviours and their contribution to the distribution of the intertidal coral reef sponge Carteriospongia foliascens","PLoS ONE","","19326203","10.1371/journal.pone.0098181","2014","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"47",2023,"Abd-Elhameed, Shahin; Mahmoud, Abdel Aziz; Salama, Yasser","Late paleocene-early eocene larger foraminifera from the galala plateaus, north eastern desert, egypt: biostratigraphic, paleoenvironmental and paleoecological implications","Carbonates and Evaporites","","08912556","10.1007/s13146-023-00909-2","2023","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"48",2018,"Abbasov, Iftikhar B.","Monitoring of aqueous environment of the continental shelf: The current state","Exploration and Monitoring of the Underwater Environment of the Shelf Zone","","","10.1002/9781119488309.ch1","2018","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"49",2020,"Abdullah Zawawi, Noor Amila Wan; Liew, M.S.; Shawn, Lim Eu; Alaloul, Wesam Salah; Toloue, Iraj; Mohd, Mohd Hairil; Rahman, Mohd Asamudin A.; Nazri, Muhammad Nadzrin; Tan, Chun-Hong; Mohamad, Yuzwan; Lim, Chuin-Siew; Mustapa, Baharim; Shaari, Hasrizal; Hii, Yii-Siang; Nasahie Akbar Ali, M.; Izzat Thiyauddin, M.; Karim, Marcella Abdul","Potential of offshore structure as artificial reefs in shallow tropical water","Society of Petroleum Engineers - SPE Symposium: Decommissioning and Abandonment 2019","978-1-61399-688-1","",NA,"2020","Society of Petroleum Engineers","SPE Symposium: Decommissioning and Abandonment",0,0,0,0,0,0,1,0,0,0,0,0,0
"50",2016,"Abukawa, Kazuki; Matsumoto, Sayuri; Hirabayashi, Taketsugu; Sato, Tomoo; Iida, Hiroshi; Nanri, Mitsuhiko; Yoshie, Muneo; Katakura, Kageyoshi; Takahashi, Koji","Reconstructed real-time 3D image of chimneys using underwater acoustic video camera in the experimental field","OCEANS 2016 MTS/IEEE Monterey, OCE 2016","","","10.1109/OCEANS.2016.7761385","2016","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"51",2020,"Abesamis, Rene A.; Utzurrum, Jean Asuncion T.; Raterta, Lucille Jean J.; Russ, Garry R.","Shore-fish assemblage structure in the central Philippines from shallow coral reefs to the mesophotic zone","Marine Biology","","00253162","10.1007/s00227-020-03797-5","2020","","",1,0,0,0,0,0,0,0,0,0,0,0,0
"52",2019,"Abdul Wahab, Muhammad Azmi; Radford, Ben; Fromont, Jane; Hosie, Andrew M.; Miller, Karen; Heyward, Andrew","The diversity and distribution of mesophotic benthic invertebrates at Ningaloo Reef, Western Australia","Marine Biodiversity","","18671616","10.1007/s12526-019-01015-0","2019","","",0,0,0,1,0,0,0,0,0,0,0,0,0
"53",2005,"Abad, Manuel; Ruiz, Francisco; Pendon, Jose Gabriel; Gonzalez-Regalado, Ma. Luz; Tosquella, Josep","Tortonian ostracodes of southwestern europe","Geobios","","00166995","10.1016/j.geobios.2003.12.006","2005","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"54",2022,"Abraham, Amelia Clayshulte; Gochfeld, Deborah J.; Avula, Bharathi; Macartney, Keir J.; Lesser, Michael P.; Slattery, Marc","Variability in antimicrobial chemical defenses in the Caribbean sponge <i>Agelas tubulata</i>: implications for disease resistance and resilience","Marine Ecology Progress Series","","01718630","10.3354/meps14042","2022","","",0,0,0,0,0,0,0,0,0,1,0,0,0
"55",2011,"Abbey E, Webster JM, Braga JC, Sugihara K, Wallace C, Iryu Y, Potts D, Done T, Camoin G, Seard C","Variation in deglacial coralgal assemblages and their paleoenvironmental signifi cance: IODP Expedition 310, “Tahiti Sea Level”","Global and planetary change","","","10.1016/j.gloplacha.2010.11.005","2011","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"56",2003,"Acosta, C.A.; Robertson, D.N.","Comparative spatial ecology of fished spiny lobsters <i>Panulirus argus</i> and an unfished congener <i>P. guttatus</i> in an isolated marine reserve at Glover's Reef atoll, Belize","Coral Reefs","","07224028","10.1007/s00338-002-0270-5","2003","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"57",2019,"Acosta, Gerardo G.; Menna, Bruno V.; Carlucho, Ignacio; Paula, Mariano De; Villar, Sebastian A.; Curti, Hugo J.; Rozenfeld, Alejandro F.; De La Vega, Roberto J.; Isasmendi, Agustin; Leegstra, Roberto C.; Arrien, Luis M.","Ictiobot-40 a low cost AUV platform for acoustic imaging surveying","OCEANS 2019 - Marseille, OCEANS Marseille 2019","","","10.1109/OCEANSE.2019.8867290","2019","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"58",2008,"Acik, Sermin","Occurrence of the alien species <i>Aspidosiphon</i> (<i>Aspidosiphon</i>) <i>elegans</i> (sipuncula) on the levantine and aegean coasts of Turkey","TURKISH JOURNAL OF ZOOLOGY","","1300-0179",NA,"2008","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"59",2008,"Açik, Sermin","Sipunculans along the Aegean coast of Turkey","Zootaxa","","11755326","10.11646/zootaxa.1852.1.2","2008","","",0,0,0,1,0,0,0,0,0,0,0,0,0
"60",2018,"Acuna-Marrero, David; Smith, Adam N. H.; Salinas-De-Leon, Pelayo; Harvey, Euan S.; Pawley, Matthew D. M.; Anderson, Marti J.","Spatial patterns of distribution and relative abundance of coastal shark species in the Galapagos Marine Reserve","Marine Ecology Progress Series","","01718630","10.3354/meps12505","2018","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"61",1973,"Adey, W.H.; Macintyre, I.G.","Crustose coralline algae: A re-evaluation in the geological sciences","Bulletin of the Geological Society of America","","00167606","10.1130/0016-7606(1973)84<883:CCAARI>2.0.CO;2","1973","","",0,1,0,0,1,0,0,0,0,0,0,0,0
"62",2023,"Adler Jaffe, Shoshana; Jacobson, Kendal; Farnbach Pearson, Amy W.; Baca, Lila A.; Dimauro, Nina; Kano, Miria","""Did I get into the twilight zone somehow?"": sexual and gender minority cancer caregiver experiences during COVID","Cancer Causes and Control","","09575243","10.1007/s10552-023-01708-9","2023","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"63",2012,"Adamec, Bethany Holm; Asher, Pranoti","Getting our hands wet: AGU participates in 2012 USA Science and Engineering Festival","eos. commentarii societatis philologae polonorum","","00963941","10.1029/2012EO210009","2012","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"64",2022,"Adrianov, Andrey V.; Maiorova, Anastassya S.","Kinorhynchs (Kinorhyncha) from methane cold seeps in the Bering Sea, with biogeographical discussion and ecological notes","Deep-Sea Research Part II: Topical Studies in Oceanography","","09670645","10.1016/j.dsr2.2022.105132","2022","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"65",1970,"Adey, Walter H.; McKibbin, Dale L.","Studies on the Maerl Species Phymatolithon calcareum (Pallas) nov comb. and Lithothamnium coralloides Crouan in the Ria de Vigo","Botanica Marina","","00068055","10.1515/botm.1970.13.2.100","1970","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"66",2015,"Adey, Walter; Halfar, Jochen; Humphreys, Alexander; Suskiewicz, Thew; Belanger, David; Gagnon, Patrick; Fox, Michael","Subarctic rhodolith beds promote longevity of crustose coralline algal buildups and their climate archiving potential","Palaios","","08831351","10.2110/palo.2014.075","2015","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"67",1995,"Ageev, Mikhail D.","Analyses of long-range AUV, powered by solar energy","Oceans Conference Record (IEEE)","","01977385",NA,"1995","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"68",2022,"Aguirre, Julio; Baceta, Juan I.; Braga, Juan C.","Coralline algae at the Paleocene/Eocene thermal maximum in the southern pyrenees (N spain)","Frontiers in Marine Science","","22967745","10.3389/fmars.2022.899877","2022","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"69",2019,"Aguirre-Castro, Oscar Adrian; Inzunza-Gonzalez, Everardo; Garcia-Guerrero, Enrique Efren; Tlelo-Cuautle, Esteban; Lopez-Bonilla, Oscar Roberto; Olguin-Tiznado, Jesus Everardo; Cardenas-Valdez, Jose Ricardo","Design and construction of an rov for underwater exploration","Sensors (Switzerland)","","14248220","10.3390/s19245387","2019","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"70",2018,"Aguzzi, J.; Fanelli, E.; Ciuffardi, T.; Schirone, A.; De Leo, F.C.; Doya, C.; Kawato, M.; Miyazaki, M.; Furushima, Y.; Costa, C.; Fujiwara, Y.","Faunal activity rhythms influencing early community succession of an implanted whale carcass offshore Sagami Bay, Japan","Scientific Reports","","20452322","10.1038/s41598-018-29431-5","2018","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"71",2013,"Aguzzi, J.; Costa, C.; Ketmaier, V.; Angelini, C.; Antonucci, F.; Menesatti, P.; Company, J.B.","Light-dependent genetic and phenotypic differences in the squat lobster Munida tenuimana (Crustacea: Decapoda) along deep continental margins","Progress in Oceanography","","00796611","10.1016/j.pocean.2013.07.011","2013","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"72",2017,"Aguilar-Perera, A.; Quijano-Puerto, L.; Hernandez-Landa, R.C.","Lionfish invaded the mesophotic coral ecosystem of the Parque Nacional Arrecife Alacranes, Southern Gulf of Mexico","Marine Biodiversity","","18671616","10.1007/s12526-016-0536-8","2017","","",1,0,0,0,0,0,0,0,0,0,0,0,0
"73",2023,"Ager, Thomas Gjerluff; Krause-Jensen, Dorte; Olesen, Birgit; Carlson, Daniel F.; Winding, Mie Hylstofte Sichlau; Sejr, Mikael K.","Macroalgal habitats support a sustained flux of floating biomass but limited carbon export beyond a Greenland fjord","Science of the Total Environment","","00489697","10.1016/j.scitotenv.2023.162224","2023","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"74",2020,"Aguirre, Julio; Ocana, Oscar; Perez-Asensio, Jose N.; Domenech, Rosa; Martinell, Jordi; Mayoral, Eduardo; Santos, Ana","Mesophotic azooxanthellate coral communities and submarine seascape during the early Pliocene in Manilva Basin (S Spain)","Coral Reefs","","07224028","10.1007/s00338-020-02000-x","2020","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"75",2020,"Aguirre, Julio; Braga, Juan C.; Pujalte, Victoriano; Orue-Etxebarria, Xabier; Salazar-Ortiz, Edward; Rincon-Martinez, Daniel; Abad, Manuel; Perez-Valera, Fernando","Middle eocene rhodoliths from tropical and mid-latitude regions","Diversity","","14242818","10.3390/d12030117","2020","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"76",2022,"Aguirre, Julio; Braga, Juan C.","Middle Miocene (Serravallian) rhodoliths and coralline algal debris in carbonate ramps (Betic Cordillera, S Spain)","Frontiers in Earth Science","","22966463","10.3389/feart.2022.958148","2022","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"77",1997,"Aguiar, A.; Pascoal, A.","Modeling and control of an autonomous underwater shuttle for the transport of benthic laboratories","Oceans Conference Record (IEEE)","","01977385",NA,"1997","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"78",1996,"Ageev, M.D.","Modular autonomous unmanned vehicles of the IMTP","Marine Technology Society Journal","","00253324",NA,"1996","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"79",2012,"Aguirre, Julio; Braga, Juan C.; Martin, Jose M.; Betzler, Christian","Palaeoenvironmental and stratigraphic significance of Pliocene rhodolith beds and coralline algal bioconstructions from the Carboneras Basin (SE Spain); [Paleoenvironnements et stratigraphie des couches a rhodolithes et des constructions a algues corallines du Pliocene du Bassin de Carboneras (SE de l'Espagne)]","Geodiversitas","","12809659","10.5252/g2012n1a7","2012","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"80",2017,"Aguirre, Julio; Braga, Juan C.; Bassi, Davide","Rhodoliths and rhodolith beds in the rock record","Coastal Research Library","","22110577","10.1007/978-3-319-29315-8_5","2017","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"81",2008,"Aguilar-Perera, Alfonso; Appeldoorn, Richard S.","Spatial distribution of marine fishes along a cross-shelf gradient containing a continuum of mangrove-seagrass-coral reefs off southwestern Puerto Rico","Estuarine, Coastal and Shelf Science","","02727714","10.1016/j.ecss.2007.07.016","2008","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"82",2023,"Agate, Mauro; Lombardo, Christina; Lo Iacono, Claudio; Sulli, Attilio; Polizzi, Sabrina; Chemello, Renato; Orru, Paolo Emanuele","Submarine geomorphology and sedimentary features around the egadi islands (western mediterranean sea)","Journal of Marine Science and Engineering","","20771312","10.3390/jmse11061246","2023","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"83",2020,"Agnesi, Sabrina; Annunziatellis, Aldo; Inghilesi, Roberto; Mo, Giulia; Orasi, Arianna","The contribution of wind-wave energy at sea bottom to the modelling of rhodolith beds distribution in an off-shore continental shelf","Mediterranean Marine Science","","1108393X","10.12681/MMS.22462","2020","","",0,0,0,0,0,0,1,0,0,0,0,0,0
"84",2023,"Agarwala, Nitin","Using robotics to achieve ocean sustainability during the exploration phase of deep seabed mining","Marine Technology Society Journal","","00253324","10.4031/MTSJ.57.1.15","2023","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"85",2022,"Aguilar-Perera, Alfonso; Hernandez-Landa, Roberto C.","Variation in body length, length-weight relationship, and condition factor of Lionfish (<i>Pterois volitans</i>) between years in a mesophotic coral ecosystem in alacranes reef, southern gulf of mexico","Caribbean Journal of Science","","0008-6452",NA,"2022","","",1,0,0,0,0,0,0,0,0,0,0,0,0
"86",2020,"Ahn, Jonghyun; Yasukawa, Shinsuke; Sonoda, Takashi; Nishida, Yuya; Ishii, Kazuo; Ura, Tamaki","An optical image transmission system for deep sea creature sampling missions using autonomous underwater vehicle","IEEE JOURNAL OF OCEANIC ENGINEERING","","0364-9059","10.1109/JOE.2018.2872500","2020","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"87",2011,"Ahmad, Nazni Wasi; Lim, Lee Han; Dhang, Chen Chee; Chin, Heo Chong; Abdullah, A.G.; Mustaffa, Wan-Norjuliana Wan; Kian, Chew Wai; Jeffery, John; Hashim, Rosli; Azirun, Sofian Mohd","Comparative insect fauna succession on indoor and outdoor monkey: Carrions in a semi-forested area in Malaysia","Asian Pacific Journal of Tropical Biomedicine","","22211691","10.1016/S2221-1691(11)60161-5","2011","","",0,0,0,0,1,0,0,0,0,0,0,0,0
